Pattern, Group, Path, IndName, Args, Line
1,,/pattern1-misuse/src/com/applozic/mobicommons/encryption/EncryptionUtils.java,Arrays.fill,buf | (byte)0,38
1,,/pattern1-misuse/src/com/applozic/mobicommons/encryption/EncryptionUtils.java,Cipher.getInstance,ALGORITHM,29
1,,/pattern1-misuse/src/com/applozic/mobicommons/encryption/EncryptionUtils.java,Cipher.getInstance,ALGORITHM,51
1,,/pattern1-misuse/src/com/applozic/mobicommons/encryption/EncryptionUtils.java,Math.min,bufferLength | w.length - i,37
1,,/pattern1-misuse/src/com/applozic/mobicommons/encryption/EncryptionUtils.java,System.arraycopy,w | i | buf | 0 | size,39
1,,/pattern1-misuse/src/com/applozic/mobicommons/encryption/EncryptionUtils.java,chiper.doFinal,buf,40
1,,/pattern1-misuse/src/com/applozic/mobicommons/encryption/EncryptionUtils.java,chiper.doFinal,decodedValue,54
1,,/pattern1-misuse/src/com/applozic/mobicommons/encryption/EncryptionUtils.java,chiper.init,Cipher.DECRYPT_MODE | key,52
1,,/pattern1-misuse/src/com/applozic/mobicommons/encryption/EncryptionUtils.java,chiper.init,Cipher.ENCRYPT_MODE | key,30
1,,/pattern1-misuse/src/com/applozic/mobicommons/encryption/EncryptionUtils.java,decryptedValue.trim,,56
1,,/pattern1-misuse/src/com/applozic/mobicommons/encryption/EncryptionUtils.java,generateKey,ketString,28
1,,/pattern1-misuse/src/com/applozic/mobicommons/encryption/EncryptionUtils.java,generateKey,ketString,50
1,,/pattern1-misuse/src/com/applozic/mobicommons/encryption/EncryptionUtils.java,ketString.getBytes,,61
1,,/pattern1-misuse/src/com/applozic/mobicommons/encryption/EncryptionUtils.java,plainText.getBytes,,31
1,,/pattern1-misuse/src/com/applozic/mobicommons/encryption/EncryptionUtils.java,stringBuffer.append,Base64.encodeToString(buf,Base64.DEFAULT),41
1,,/pattern1-misuse/src/com/applozic/mobicommons/encryption/EncryptionUtils.java,stringBuffer.toString,,44
1,,/pattern2-misuse/src/com/wo2b/sdk/common/util/io/FileNameGenerator.java,MessageDigest.getInstance,HASH_ALGORITHM,46
1,,/pattern2-misuse/src/com/wo2b/sdk/common/util/io/FileNameGenerator.java,abs,,31
1,,/pattern2-misuse/src/com/wo2b/sdk/common/util/io/FileNameGenerator.java,bi.toString,RADIX,33
1,,/pattern2-misuse/src/com/wo2b/sdk/common/util/io/FileNameGenerator.java,digest.digest,,48
1,,/pattern2-misuse/src/com/wo2b/sdk/common/util/io/FileNameGenerator.java,digest.update,data,47
1,,/pattern2-misuse/src/com/wo2b/sdk/common/util/io/FileNameGenerator.java,e.printStackTrace,,52
1,,/pattern2-misuse/src/com/wo2b/sdk/common/util/io/FileNameGenerator.java,getMD5,url.getBytes(),30
1,,/pattern2-misuse/src/com/wo2b/sdk/common/util/io/FileNameGenerator.java,url.getBytes,,30
1,,/pattern2-misuse/src/opensource/component/imageloader/cache/disc/naming/Md5FileNameGenerator.java,MessageDigest.getInstance,HASH_ALGORITHM,46
1,,/pattern2-misuse/src/opensource/component/imageloader/cache/disc/naming/Md5FileNameGenerator.java,abs,,39
1,,/pattern2-misuse/src/opensource/component/imageloader/cache/disc/naming/Md5FileNameGenerator.java,bi.toString,RADIX,40
1,,/pattern2-misuse/src/opensource/component/imageloader/cache/disc/naming/Md5FileNameGenerator.java,digest.digest,,48
1,,/pattern2-misuse/src/opensource/component/imageloader/cache/disc/naming/Md5FileNameGenerator.java,digest.update,data,47
1,,/pattern2-misuse/src/opensource/component/imageloader/cache/disc/naming/Md5FileNameGenerator.java,getMD5,imageUri.getBytes(),38
1,,/pattern2-misuse/src/opensource/component/imageloader/cache/disc/naming/Md5FileNameGenerator.java,imageUri.getBytes,,38
1,,/pattern3-misuse/src/com/d3/d3xmpp/util/DES.java,Cipher.getInstance,"DES/CBC/PKCS5Padding",23
1,,/pattern3-misuse/src/com/d3/d3xmpp/util/DES.java,Cipher.getInstance,"DES/CBC/PKCS5Padding",34
1,,/pattern3-misuse/src/com/d3/d3xmpp/util/DES.java,cipher.doFinal,byteMi,36
1,,/pattern3-misuse/src/com/d3/d3xmpp/util/DES.java,cipher.doFinal,encryptString.getBytes(),25
1,,/pattern3-misuse/src/com/d3/d3xmpp/util/DES.java,cipher.init,Cipher.DECRYPT_MODE | key | zeroIv,35
