Pattern, Group, Path, IndName, Args, Line
1,,/package-question-1/src/A.java,Base64.getEncoder,,22
1,,/package-question-1/src/A.java,Cipher.getInstance,algorithm,20
1,,/package-question-1/src/A.java,cipher.doFinal,strToEncrypt.getBytes("UTF-8"),23
1,,/package-question-1/src/A.java,cipher.init,Cipher.ENCRYPT_MODE | secretKey,21
1,,/package-question-1/src/A.java,e.toString,,25
1,,/package-question-1/src/A.java,encodeToString,cipher.doFinal(strToEncrypt.getBytes("UTF-8")),22
1,,/package-question-1/src/A.java,m1,plaintext | secretKey,11
1,,/package-question-1/src/A.java,println,"Error while encrypting: " + e.toString(),25
1,,/package-question-1/src/A.java,println,encryptedString,12
1,,/package-question-1/src/A.java,secret.getBytes,"UTF-8",18
1,,/package-question-1/src/A.java,strToEncrypt.getBytes,"UTF-8",23
1,,/package-question-2/src/A.java,Integer.toHexString,0xFF & md[i],17
1,,/package-question-2/src/A.java,MessageDigest.getInstance,algo,11
1,,/package-question-2/src/A.java,hexString.append,Integer.toHexString(0xFF & md[i]),17
1,,/package-question-2/src/A.java,hexString.toString,,19
1,,/package-question-2/src/A.java,m.digest,,13
1,,/package-question-2/src/A.java,m.update,strToEncrypt.getBytes(),12
1,,/package-question-2/src/A.java,m1,"encrypt",6
1,,/package-question-2/src/A.java,println,"Output : " + hexString.toString(),19
1,,/package-question-2/src/A.java,strToEncrypt.getBytes,,12
1,,/package-question-3/src/A.java,Base64.getEncoder,,52
1,,/package-question-3/src/A.java,Base64.getEncoder,,36
1,,/package-question-3/src/A.java,Cipher.getInstance,algorithm,32
1,,/package-question-3/src/A.java,Cipher.getInstance,algorithm,48
1,,/package-question-3/src/A.java,VAR1.clone,,60
1,,/package-question-3/src/A.java,cipher.doFinal,strTom5.getBytes(),51
1,,/package-question-3/src/A.java,cipher.doFinal,strTom5.getBytes(),35
1,,/package-question-3/src/A.java,cipher.init,Cipher.ENCRYPT_MODE | secretKey | ivSpec,34
1,,/package-question-3/src/A.java,cipher.init,Cipher.ENCRYPT_MODE | secretKey | ivSpec,50
1,,/package-question-3/src/A.java,e.toString,,38
1,,/package-question-3/src/A.java,e.toString,,54
1,,/package-question-3/src/A.java,encodeToString,ciphertext,52
1,,/package-question-3/src/A.java,encodeToString,ciphertext,36
1,,/package-question-3/src/A.java,getRandomSecretKey,key,46
1,,/package-question-3/src/A.java,getRandomSecretKey,secret.getBytes(),30
1,,/package-question-3/src/A.java,m1,,47
1,,/package-question-3/src/A.java,m1,,31
1,,/package-question-3/src/A.java,m2,plaintext,14
1,,/package-question-3/src/A.java,m3,plaintext,16
1,,/package-question-3/src/A.java,println,"Error while m5ing: " + e.toString(),54
1,,/package-question-3/src/A.java,println,"Error while m5ing: " + e.toString(),38
1,,/package-question-3/src/A.java,println,encrptString,15
1,,/package-question-3/src/A.java,println,m3(plaintext),16
1,,/package-question-3/src/A.java,random.nextBytes,iv,23
1,,/package-question-3/src/A.java,secret.getBytes,,30
1,,/package-question-3/src/A.java,secureRandom.nextBytes,VAR2,62
1,,/package-question-3/src/A.java,strTom5.getBytes,,51
1,,/package-question-3/src/A.java,strTom5.getBytes,,35
1,,/package-question-4/src/A.java,Base64.getEncoder,,48
1,,/package-question-4/src/A.java,Base64.getEncoder,,65
1,,/package-question-4/src/A.java,Cipher.getInstance,algorithm,45
1,,/package-question-4/src/A.java,Cipher.getInstance,algorithm,62
1,,/package-question-4/src/A.java,SecretKeyFactory.getInstance,"PBEWithMD5AndDES",27
1,,/package-question-4/src/A.java,VAR1.clone,,73
1,,/package-question-4/src/A.java,e.printStackTrace,,35
1,,/package-question-4/src/A.java,e.printStackTrace,,32
1,,/package-question-4/src/A.java,e.toString,,67
1,,/package-question-4/src/A.java,e.toString,,50
1,,/package-question-4/src/A.java,encodeToString,ciphertext,48
1,,/package-question-4/src/A.java,encodeToString,ciphertext,65
1,,/package-question-4/src/A.java,getBytes,,44
1,,/package-question-4/src/A.java,getRandomSecretKey,"12345678".getBytes(),44
1,,/package-question-4/src/A.java,getRandomSecretKey,bytes,61
1,,/package-question-4/src/A.java,keyFactory.generateSecret,pbe,28
1,,/package-question-4/src/A.java,m1,,57
1,,/package-question-4/src/A.java,m1,,43
1,,/package-question-4/src/A.java,m2,plaintext,19
1,,/package-question-4/src/A.java,m3,plaintext,21
1,,/package-question-4/src/A.java,pbeCipher.doFinal,strToEncrypt.getBytes(),64
1,,/package-question-4/src/A.java,pbeCipher.doFinal,strToEncrypt.getBytes(),47
1,,/package-question-4/src/A.java,pbeCipher.init,Cipher.ENCRYPT_MODE | key | pbeKey,46
1,,/package-question-4/src/A.java,pbeCipher.init,Cipher.ENCRYPT_MODE | key | pbeKey,63
1,,/package-question-4/src/A.java,println,"Error while encrypting: " + e.toString(),67
1,,/package-question-4/src/A.java,println,"Error while encrypting: " + e.toString(),50
1,,/package-question-4/src/A.java,println,encryptedString,20
1,,/package-question-4/src/A.java,println,m3(plaintext),21
1,,/package-question-4/src/A.java,random.nextBytes,bytes,60
1,,/package-question-4/src/A.java,secureRandom.nextBytes,VAR2,75
1,,/package-question-4/src/A.java,strToEncrypt.getBytes,,47
1,,/package-question-4/src/A.java,strToEncrypt.getBytes,,64
1,,/package-question-4/src/A.java,toCharArray,,26
1,,/package-question-5/src/A.java,Base64.getEncoder,,38
1,,/package-question-5/src/A.java,Cipher.getInstance,algorithm,34
1,,/package-question-5/src/A.java,KeyGenerator.getInstance,"AES",29
1,,/package-question-5/src/A.java,cipher.doFinal,plaintext.getBytes(),37
1,,/package-question-5/src/A.java,cipher.init,Cipher.ENCRYPT_MODE | keyGenerator | ivSpec,36
1,,/package-question-5/src/A.java,encodeToString,ciphertext,38
1,,/package-question-5/src/A.java,keyGen.generateKey,,31
1,,/package-question-5/src/A.java,keyGen.init,256,30
1,,/package-question-5/src/A.java,m1,,32
1,,/package-question-5/src/A.java,m2,plaintext,16
1,,/package-question-5/src/A.java,plaintext.getBytes,,37
1,,/package-question-5/src/A.java,println,encryptedString,17
1,,/package-question-5/src/A.java,random.generateSeed,55,23
1,,/package-question-5/src/A.java,random.nextBytes,iv,24
1,,/package-question-5/src/A.java,random.setSeed,random.generateSeed(55),23
1,,/package-question-6/src/A.java,Base64.getDecoder,,34
1,,/package-question-6/src/A.java,Cipher.getInstance,algorithm,32
1,,/package-question-6/src/A.java,KeyGenerator.getInstance,keyAlgo,23
1,,/package-question-6/src/A.java,cipher.doFinal,Base64.getDecoder().decode(strTom5),34
1,,/package-question-6/src/A.java,cipher.init,Cipher.DECRYPT_MODE | secretKey | ivSpec,33
1,,/package-question-6/src/A.java,decode,strTom5,34
1,,/package-question-6/src/A.java,e.toString,,37
1,,/package-question-6/src/A.java,keyGenerator.generateKey,,25
1,,/package-question-6/src/A.java,keyGenerator.init,256,24
1,,/package-question-6/src/A.java,m1,plaintext,15
1,,/package-question-6/src/A.java,println,"Error while m5ing: " + e.toString(),37
1,,/package-question-6/src/A.java,println,m4edString,16
1,,/package-question-6/src/A.java,random.nextBytes,iv,29
1,,/package-question-7/src/A.java,Base64.getEncoder,,28
1,,/package-question-7/src/A.java,Cipher.getInstance,algorithm,25
1,,/package-question-7/src/A.java,SecretKeyFactory.getInstance,"AES",20
1,,/package-question-7/src/A.java,e.toString,,30
1,,/package-question-7/src/A.java,encodeToString,ciphertext,28
1,,/package-question-7/src/A.java,getBytes,,22
1,,/package-question-7/src/A.java,keyFactory.generateSecret,spec,24
1,,/package-question-7/src/A.java,m1,plaintext,14
1,,/package-question-7/src/A.java,pbeCipher.doFinal,strToEncrypt.getBytes(),27
1,,/package-question-7/src/A.java,pbeCipher.init,Cipher.ENCRYPT_MODE | key,26
1,,/package-question-7/src/A.java,println,"Error while encrypting: " + e.toString(),30
1,,/package-question-7/src/A.java,println,encryptedString,15
1,,/package-question-7/src/A.java,strToEncrypt.getBytes,,27
1,,/package-question-8/src/A.java,Base64.getEncoder,,30
1,,/package-question-8/src/A.java,Cipher.getInstance,algorithm,26
1,,/package-question-8/src/A.java,VAR1.clone,,38
1,,/package-question-8/src/A.java,cipher.doFinal,strToEncrypt.getBytes(),29
1,,/package-question-8/src/A.java,cipher.init,Cipher.ENCRYPT_MODE | secretKey | ivSpec,28
1,,/package-question-8/src/A.java,e.toString,,32
1,,/package-question-8/src/A.java,encodeToString,ciphertext,30
1,,/package-question-8/src/A.java,getRandomSecretKey,iv,25
1,,/package-question-8/src/A.java,initVec.getBytes,,24
1,,/package-question-8/src/A.java,m1,plaintext,13
1,,/package-question-8/src/A.java,println,"Error while encrypting: " + e.toString(),32
1,,/package-question-8/src/A.java,println,encryptedString,14
1,,/package-question-8/src/A.java,secureRandom.nextBytes,VAR2,40
1,,/package-question-8/src/A.java,strToEncrypt.getBytes,,29
2,,/package-question-1/src/A.java,Base64.getEncoder,,22
2,,/package-question-1/src/A.java,Cipher.getInstance,algorithm,20
2,,/package-question-1/src/A.java,cipher.doFinal,strToEncrypt.getBytes("UTF-8"),23
2,,/package-question-1/src/A.java,cipher.init,Cipher.ENCRYPT_MODE | secretKey,21
2,,/package-question-1/src/A.java,e.toString,,25
2,,/package-question-1/src/A.java,encodeToString,cipher.doFinal(strToEncrypt.getBytes("UTF-8")),22
2,,/package-question-1/src/A.java,m1,plaintext | secretKey,11
2,,/package-question-1/src/A.java,println,"Error while encrypting: " + e.toString(),25
2,,/package-question-1/src/A.java,println,encryptedString,12
2,,/package-question-1/src/A.java,secret.getBytes,"UTF-8",18
2,,/package-question-1/src/A.java,strToEncrypt.getBytes,"UTF-8",23
2,,/package-question-2/src/A.java,Integer.toHexString,0xFF & md[i],17
2,,/package-question-2/src/A.java,MessageDigest.getInstance,algo,11
2,,/package-question-2/src/A.java,hexString.append,Integer.toHexString(0xFF & md[i]),17
2,,/package-question-2/src/A.java,hexString.toString,,19
2,,/package-question-2/src/A.java,m.digest,,13
2,,/package-question-2/src/A.java,m.update,strToEncrypt.getBytes(),12
