Pattern, Group, Path, IndName, Args, Line
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,Character.digit,name.charAt(i + 1) | 16,617
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,Character.digit,name.charAt(i + 2) | 16,618
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,Character.forDigit,ch % 16 | 16,566
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,Character.forDigit,ch / 16 | 16,565
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,Character.toUpperCase,Character.forDigit(ch % 16,16),566
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,Character.toUpperCase,Character.forDigit(ch / 16,16),565
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,MessageDigest.getInstance,algorithm,115
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,buf.append,"&amp;",280
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,buf.append,"&apos;",288
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,buf.append,"&gt;",276
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,buf.append,"&lt;",272
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,buf.append,"&quot;",284
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,buf.append,arr[i],197
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,buf.append,delim,195
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,buf.append,text.substring(pos,i),263
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,buf.append,text.substring(pos),299
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,buf.toString,,199
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,buf.toString,,301
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,buffer.append,'%',564
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,buffer.append,'%',626
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,buffer.append,(char)(a * 16 + b),621
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,buffer.append,Character.toUpperCase(Character.forDigit(ch % 16,16)),566
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,buffer.append,Character.toUpperCase(Character.forDigit(ch / 16,16)),565
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,buffer.append,ch,570
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,buffer.append,name,631
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,buffer.append,name.toCharArray() | 0 | i,616
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,buffer.toString,,573
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,buffer.toString,,632
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,data.getBytes,enc,99
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,data.getBytes,enc,56
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,decodeDigit,utf8[++k],471
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,descendant.startsWith,pattern,737
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,descendant.startsWith,pattern,758
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,digest,"MD5" | data.getBytes(enc),56
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,digest,algorithm | data.getBytes(enc),99
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,e.toString,,407
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,e.toString,,483
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,escape,path | '%' | true,438
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,escape,string | '%',422
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,escape,string | escape | false,366
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,escapeIllegalChars,name | "%/:[]*'\"|\t\r\n",552
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,escapeIllegalChars,name | "%/:[]*|\t\r\n",526
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,explode,str | ch | false,137
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,getName,path,675
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,getName,path | '/',645
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,getRelativeParent,path | level,797
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,illegal.indexOf,ch,561
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,md.digest,data,116
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,md5,data | "utf-8",74
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,name.charAt,i,560
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,name.charAt,i + 1,617
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,name.charAt,i + 2,618
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,name.indexOf,'%',613
1,,/273_Alfresco_alfresco-android-app/src/org/alfresco/mobile/android/async/utils/Text.java,name.indexOf,'%',629
